validation_dyad,freeze_level,best_epoch,best_validation_loss,best_validation_accuracy,final_train_loss,final_train_accuracy,final_validation_loss,final_validation_accuracy,trainable_parameters,frozen_parameters,freeze_name,condition
J8,2,3,0.7039143843576312,0.5625,0.09481626932668649,0.9673202614379085,2.0230226134881377,0.53125,5666,1072,freeze_temporal_spatial,pretrained
J10,2,4,0.427000715481964,0.7954545454545454,0.09016627782357256,0.9710884353741497,0.888664036264262,0.7272727272727273,5666,1072,freeze_temporal_spatial,pretrained
J15,2,4,0.5808422951535746,0.6931818181818182,0.10536158439818563,0.9659863945578231,0.9120686935599555,0.7613636363636364,5666,1072,freeze_temporal_spatial,pretrained
J1,3,1,0.6745106677214304,0.5357142857142857,0.22571551710102908,0.9054054054054054,1.4283360640207927,0.6071428571428571,5122,1616,freeze_tout_sauf_classifieur,pretrained
J2,3,1,0.6949184760451317,0.5,0.2101907486010495,0.9183673469387755,2.48467069119215,0.5,5122,1616,freeze_tout_sauf_classifieur,pretrained
J4,3,1,0.7078665007244457,0.4772727272727273,0.20724808345635923,0.9132653061224489,1.2782060910354962,0.5,5122,1616,freeze_tout_sauf_classifieur,pretrained
J5,3,5,0.5458508211780678,0.7272727272727273,0.19945036947527633,0.9166666666666666,0.9840892861512575,0.6590909090909091,5122,1616,freeze_tout_sauf_classifieur,pretrained
J7,3,1,0.7056409086693417,0.5,0.20766193074250253,0.9115646258503401,1.5421696516939185,0.5454545454545454,5122,1616,freeze_tout_sauf_classifieur,pretrained
J8,3,1,0.6895870985463262,0.484375,0.2112959890665937,0.9052287581699346,1.8597445115447044,0.5,5122,1616,freeze_tout_sauf_classifieur,pretrained
J10,3,4,0.6060824529691176,0.6704545454545454,0.18571355846095958,0.9217687074829932,1.005688645114953,0.6477272727272727,5122,1616,freeze_tout_sauf_classifieur,pretrained
J15,3,5,0.6277476941997354,0.6590909090909091,0.19147834391135177,0.923469387755102,1.1240924955769018,0.625,5122,1616,freeze_tout_sauf_classifieur,pretrained
J1,0,2,0.4324248942236106,0.7857142857142857,0.04280868936940517,0.9881756756756757,0.9663525828648181,0.7857142857142857,6738,0,from_scratch_baseline,from_scratch
J2,0,3,0.6559325197542255,0.6590909090909091,0.05567336850720426,0.9761904761904762,1.8256888010285117,0.6363636363636364,6738,0,from_scratch_baseline,from_scratch
J4,0,6,0.42271142918616533,0.8068181818181818,0.06864496612324048,0.9727891156462585,0.9096458922312277,0.7954545454545454,6738,0,from_scratch_baseline,from_scratch
J5,0,13,0.3489625022524375,0.8636363636363636,0.03377137281374268,0.9914965986394558,0.6424242775395793,0.8181818181818182,6738,0,from_scratch_baseline,from_scratch
J7,0,3,0.6245559765533968,0.6704545454545454,0.055229982550868105,0.9795918367346939,1.6030842564492063,0.6363636363636364,6738,0,from_scratch_baseline,from_scratch
J8,0,2,0.6864663939923048,0.609375,0.04796266103431407,0.9869281045751634,2.1141241744626313,0.609375,6738,0,from_scratch_baseline,from_scratch
J10,0,2,0.4186651456085118,0.7159090909090909,0.024178183952702423,0.9931972789115646,0.7552170231448888,0.7954545454545454,6738,0,from_scratch_baseline,from_scratch
J15,0,3,0.44762037660587917,0.7727272727272727,0.0294132875126128,0.9880952380952381,1.1774293495320969,0.7045454545454546,6738,0,from_scratch_baseline,from_scratch
