display_name,electrode_order,electrode_name,x,y,z,source_url
braindecode/eegpt-pretrained,55,POZ,0.0002156,-0.10217799999999999,0.050608,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,56,PO4,0.0367816,-0.10084910000000001,0.036397,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,57,PO6,0.0498196,-0.0994461,0.021727,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,58,PO8,0.055666600000000004,-0.0976251,0.00273,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,59,O1,-0.0294134,-0.112449,0.008839,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,60,OZ,0.0001076,-0.114892,0.014657,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/eegpt-pretrained,61,O2,0.0298426,-0.112156,0.0088,https://huggingface.co/braindecode/eegpt-pretrained/resolve/e41cb3ae2ce4fd9eb736862292c91f8128d15618/config.json
braindecode/labram-pretrained,0,FP1,,,,https://huggingface.co/braindecode/labram-pretrained/resolve/0563b6c626e7b40d9a36653b763715db94d945d7/config.json
braindecode/labram-pretrained,1,FPZ,,,,https://huggingface.co/braindecode/labram-pretrained/resolve/0563b6c626e7b40d9a36653b763715db94d945d7/config.json
braindecode/labram-pretrained,2,FP2,,,,https://huggingface.co/braindecode/labram-pretrained/resolve/0563b6c626e7b40d9a36653b763715db94d945d7/config.json
braindecode/labram-pretrained,3,AF9,,,,https://huggingface.co/braindecode/labram-pretrained/resolve/0563b6c626e7b40d9a36653b763715db94d945d7/config.json
braindecode/labram-pretrained,4,AF7,,,,https://huggingface.co/braindecode/labram-pretrained/resolve/0563b6c626e7b40d9a36653b763715db94d945d7/config.json
braindecode/labram-pretrained,5,AF5,,,,https://huggingface.co/braindecode/labram-pretrained/resolve/0563b6c626e7b40d9a36653b763715db94d945d7/config.json
braindecode/labram-pretrained,6,AF3,,,,https://huggingface.co/braindecode/labram-pretrained/resolve/0563b6c626e7b40d9a36653b763715db94d945d7/config.json
braindecode/labram-pretrained,7,AF1,,,,https://huggingface.co/braindecode/labram-pretrained/resolve/0563b6c626e7b40d9a36653b763715db94d945d7/config.json
braindecode/labram-pretrained,8,AFZ,,,,https://huggingface.co/braindecode/labram-pretrained/resolve/0563b6c626e7b40d9a36653b763715db94d945d7/config.json
braindecode/labram-pretrained,9,AF2,,,,https://huggingface.co/braindecode/labram-pretrained/resolve/0563b6c626e7b40d9a36653b763715db94d945d7/config.json
braindecode/labram-pretrained,10,AF4,,,,https://huggingface.co/braindecode/labram-pretrained/resolve/0563b6c626e7b40d9a36653b763715db94d945d7/config.json
braindecode/labram-pretrained,11,AF6,,,,https://huggingface.co/braindecode/labram-pretrained/resolve/0563b6c626e7b40d9a36653b763715db94d945d7/config.json
braindecode/labram-pretrained,12,AF8,,,,https://huggingface.co/braindecode/labram-pretrained/resolve/0563b6c626e7b40d9a36653b763715db94d945d7/config.json
braindecode/labram-pretrained,13,AF10,,,,https://huggingface.co/braindecode/labram-pretrained/resolve/0563b6c626e7b40d9a36653b763715db94d945d7/config.json
braindecode/labram-pretrained,14,F9,,,,https://huggingface.co/braindecode/labram-pretrained/resolve/0563b6c626e7b40d9a36653b763715db94d945d7/config.json
braindecode/labram-pretrained,15,F7,,,,https://huggingface.co/braindecode/labram-pretrained/resolve/0563b6c626e7b40d9a36653b763715db94d945d7/config.json
braindecode/labram-pretrained,16,F5,,,,https://huggingface.co/braindecode/labram-pretrained/resolve/0563b6c626e7b40d9a36653b763715db94d945d7/config.json
braindecode/labram-pretrained,17,F3,,,,https://huggingface.co/braindecode/labram-pretrained/resolve/0563b6c626e7b40d9a36653b763715db94d945d7/config.json
braindecode/labram-pretrained,18,F1,,,,https://huggingface.co/braindecode/labram-pretrained/resolve/0563b6c626e7b40d9a36653b763715db94d945d7/config.json
braindecode/labram-pretrained,19,FZ,,,,https://huggingface.co/braindecode/labram-pretrained/resolve/0563b6c626e7b40d9a36653b763715db94d945d7/config.json
