validation_dyad,freeze_level,best_epoch,best_validation_loss,best_validation_accuracy,final_train_loss,final_train_accuracy,final_validation_loss,final_validation_accuracy,trainable_parameters,frozen_parameters,freeze_name,condition
J8,2,3,0.7110981531441212,0.59375,0.09796837886677084,0.9624183006535948,2.0277476399205625,0.53125,5666,1072,freeze_temporal_spatial,pretrained
J10,2,4,0.4241852971979163,0.7954545454545454,0.08908049234200081,0.967687074829932,0.9000899279913441,0.7159090909090909,5666,1072,freeze_temporal_spatial,pretrained
J15,2,4,0.577837120402943,0.7272727272727273,0.10518182681820083,0.9642857142857143,0.9453745589337565,0.7613636363636364,5666,1072,freeze_temporal_spatial,pretrained
J1,3,1,0.6745047973734992,0.5476190476190477,0.2303805956908036,0.902027027027027,1.4291380856718336,0.6071428571428571,5122,1616,freeze_tout_sauf_classifieur,pretrained
J2,3,1,0.6948580884120681,0.4772727272727273,0.215195064285618,0.9149659863945578,2.4653329473327505,0.5,5122,1616,freeze_tout_sauf_classifieur,pretrained
J4,3,1,0.708994058045474,0.48863636363636365,0.2106198099969259,0.9115646258503401,1.3150089207020672,0.48863636363636365,5122,1616,freeze_tout_sauf_classifieur,pretrained
J5,3,5,0.5487702715803277,0.7159090909090909,0.2025119127384165,0.9183673469387755,0.9810263715176419,0.6704545454545454,5122,1616,freeze_tout_sauf_classifieur,pretrained
J7,3,1,0.7035367780111053,0.5,0.21046495657148107,0.9064625850340136,1.5720870735293084,0.5340909090909091,5122,1616,freeze_tout_sauf_classifieur,pretrained
J8,3,1,0.6898514395579696,0.5,0.2126480504612475,0.9035947712418301,1.8428419334813952,0.5,5122,1616,freeze_tout_sauf_classifieur,pretrained
J10,3,4,0.6075420250946825,0.6477272727272727,0.18684425460393256,0.9217687074829932,1.0033718283203514,0.6363636363636364,5122,1616,freeze_tout_sauf_classifieur,pretrained
J15,3,5,0.631284276870164,0.6477272727272727,0.1935543145692977,0.9268707482993197,1.148452845148065,0.625,5122,1616,freeze_tout_sauf_classifieur,pretrained
J1,0,2,0.4406292165319125,0.7857142857142857,0.05521654218519514,0.9780405405405406,1.06899770965711,0.75,6738,0,from_scratch_baseline,from_scratch
J2,0,3,0.638688698918982,0.6704545454545454,0.047064737777446325,0.9812925170068028,2.0240370283241975,0.625,6738,0,from_scratch_baseline,from_scratch
J4,0,6,0.41726655343716795,0.8181818181818182,0.06801010196844101,0.9761904761904762,0.9158679387460738,0.7840909090909091,6738,0,from_scratch_baseline,from_scratch
J5,0,13,0.3314373153896833,0.8409090909090909,0.034786139906853406,0.9880952380952381,0.8470902492514473,0.8181818181818182,6738,0,from_scratch_baseline,from_scratch
J7,0,3,0.6203276626765728,0.6704545454545454,0.054822010074073294,0.9778911564625851,1.5308992888101123,0.625,6738,0,from_scratch_baseline,from_scratch
J8,0,2,0.669861517380923,0.625,0.05812886549516953,0.9820261437908496,2.0170008975546807,0.625,6738,0,from_scratch_baseline,from_scratch
J10,0,2,0.42774333737113257,0.7159090909090909,0.03125220452186893,0.9948979591836735,1.0453759830270428,0.7613636363636364,6738,0,from_scratch_baseline,from_scratch
J15,0,3,0.4685489073903723,0.7613636363636364,0.05241810086014458,0.9795918367346939,1.26015349205541,0.7045454545454546,6738,0,from_scratch_baseline,from_scratch
